exhibitor_id,name,booth_numbers,num_booths,description,website,categories,products,year,has_website,has_description
553,Inventivio,,0,"The new Tactonom Reader enables blind people to access, understand, and learn with graphics independently. The interactive system is especially suited for education because it allows users to work with the same learning formats as sighted people. This is achieved by augmenting tactile information with additional audio explanations about what you sense under your fingertips. Discover how the Tactonom Reader enables blind people to realize their full educational potential.",http://www.tactonom.com,Blind/Low Vision,,2024,True,True
589,AAVAA,,0,"We build wearable devices that interpret the brain and bio-signals using our patented sensor technology to track users' attention, eye movement, facial gestures, and subtle commands and transform them into meaningful, actionable commands. As a result, users can operate their device voice-free, hands-free, and touch-free for the first time simply by moving their head and blinking. Many markets can benefit from this technology, including assistive technologies.",http://www.aavaa.com,AAC; Alternative Input/Keyboard Devices; Assistive Mobility; Deaf & Hard of Hearing,,2024,True,True
552,Accessibility Partners Canada,,0,"Accessibility Partners Canada, a leader in inclusivity solutions, presents its USA conference. Delaware-based subsidiary Accessibility Innovation Inc. showcases expertise in ADA compliance and universal design. Our services, audits, consultations, and training focus on enhancing digital and physical accessibility. We're dedicated to empowering organizations to achieve top accessibility standards, ensuring equal access for all. Join us in advancing inclusivity across various sectors worldwide.",http://www.accessibilitypartners.ca,Agencies/Services,,2024,True,True
317,Aira,,0,"Aira is a live, human-to-human professional assistance service for people who are blind or low vision. Using a camera and the Aira app on someone’s device of ‘choice,’ a professionally-trained Agent assists by visually interpreting what is in the camera’s view. Aira is used by residents, employees and customers of airports, banks, the largest distribution centers, entire states, software companies, financial firms, retailers and universities. Aira enhances independence, efficiency and autonomy.",http://aira.io,Assistive Mobility; Blind/Low Vision; Daily Living,,2024,True,True
348,Allyant,,0,"At Allyant, we believe every organization’s journey toward equitable access should be simple and seamless, eliminating the worry, stress, and uncertainty often associated with accessibility. For this reason, we offer many accessibility services and software solutions, spanning print and digital document remediation services, document remediation software, and digital accessibility auditing.",http://allyant.com,Agencies/Services; Blind/Low Vision; Other; Software,,2024,True,True
352,Amazon,,0,"Amazon's vision is to be Earth's most customer-centric company. Our goal isn't simply to make things accessible but to make products, services, and experiences that are delightful for customers with disabilities. Customers can use Alexa to identify household items, Fire tablets with Bluetooth refreshable braille displays, Kindle's customizable reading experience, Fire TV accessibility features, including the VoiceView screen reader, audio support for compatible hearing aids, and more.",http://www.amazon.com/accessibility,Blind/Low Vision; Daily Living; Deaf & Hard of Hearing; Software; Telecommunication Devices,,2024,True,True
14,Ambutech Inc.,,0,"Ambutech leads the way in innovative mobility solutions, empowering you to navigate the world with confidence and ease. Our canes and mobility devices are crafted with precision and care. We understand that everyone's journey is unique. That's why Ambutech offers a diverse range of products, from customizable canes to tips and accessories for all your needs. Whatever your lifestyle, we have the perfect companion for you.",http://www.ambutech.com,Assistive Mobility; Blind/Low Vision; Daily Living,,2024,True,True
18,American Printing House for the Blind,,0,"At the American Printing House for the Blind (APH), we believe in empowering blind or visually impaired people by providing accessible and innovative products, materials, and services for lifelong success. Our vision is for an accessible future with opportunities for everyone.",http://www.aph.org,Blind/Low Vision; Daily Living; Educational Software,,2024,True,True
19,American Thermoform Corporation / Braillo / Zychem,,0,"American Thermoform is the parent company of Braillo Norway and Zychem Limited, and a leading manufacturer and distributor of Production Braille Embossers, Braille Paper, Thermoform Duplicators, Brailon, Swell Form Machines, Swell Touch Paper, Braille Labels, and more. Braillo is recognized as the global industry leader in production braille embossers and Zychem in tactile graphics - stop by and see why. www.americanthermoform.com, www.braillo.com, www.zychemltd.com.",http://www.americanthermoform.com,Blind/Low Vision,,2024,True,True
598,"Another Day Co., Ltd.",,0,Another Day is a company that develops various cultural and artistic content to improve low cultural accessibility for the disabled and socially vulnerable.,http://,Blind/Low Vision,,2024,True,True
