session_id,title,track,primary_topic,audience_level,date,time,location,year,abstract,num_presenters,num_secondary_topics,secondary_topics,target_audiences,has_paper,presenter_names,presenter_affiliations
3812f42f-ae3f-4866-a43d-f82c9a16d564,Kick-off Happy Hour,AH Only Sessions,,,2026-03-10,17:30,Platinum Patio,2026,,0,0,,,True,,
77ffcec1-7411-4c7d-a842-87e56b2a48ba,Quiet Space,AH Only Sessions,,,2026-03-10,08:00,Platinum 10,2026,,0,0,,,True,,
029da6ed-c7bf-461d-b9a0-95aa0e6894c2,Keynote Address Program,AH Only Sessions,,,2026-03-10,09:00,Platinum 6,2026,,0,0,,,True,,
7f905092-5173-4007-bf27-69713aa984f9,Kaffeeklatsch with the Keynote,AH Only Sessions,,,2026-03-10,11:00,Platinum 5,2026,,0,0,,,True,,
da45a4c3-4ac3-4fac-a7ad-f50aca4c348e,A Braille STEM Game for Blind and Visually Impaired Children,AH Only Sessions,Emerging Technologies,Beginning: Minimal knowledge of topic; how-to instruction of a new subject matter.,2026-03-10,13:20,Elite 1-2,2026,,1,2,Blind/Low Vision; Education,Disability Specific; K-12 Education; Research & Development; Information & Communications Technology,True,Daniel Tsivkovski,Chapman University
958230a9-73dd-4221-a048-3b403bd055d5,A Multimodal AI-Powered Travel Assistant Geo-App for BLV Users,AH Only Sessions,Mobile Technology,Intermediate: Basic to mid-level knowledge of topic; sharing of smart practices and real-world application of the subject matter.,2026-03-10,13:20,Elite 3 - Journal Track,2026,,3,2,Blind/Low Vision; Artificial Intelligence (AI) and Machine Learning (ML),Disability Specific; Research & Development,True,Zhigang Zhu; Tyler Ortiz; Hao Tang,The City College of The City University of New York; The City College of New York; BMCC/CUNY
68e917a6-ab3e-47c2-a745-858a1d96dd88,"Accessibility Evolution: Past, Present, and Future Lessons",AH Only Sessions,Blind/Low Vision,Beginning: Minimal knowledge of topic; how-to instruction of a new subject matter.,2026-03-10,13:20,Platinum 1 - Level Access,2026,,2,2,Education; Leadership and Strategy,Higher Education; Government; Transportation; Legal; Employment & Human Resources; Finance & Banking; Retail & Wholesale; Research & Development; Marketing; Healthcare & Rehabilitation; Administration & Business Support; Disability Specific; K-12 Education; Sales; Insurance; Media & Publishing; Entertainment & Recreation; Agriculture; Manufacturing; Information & Communications Technology; Military,True,Corbb O'Connor; Andrew Chung,Level Access; Level Access
804ff146-04a6-4245-8504-f986b9337540,AI for You: Everyday Strategies to Lighten Your Cognitive Load,AH Only Sessions,Employment and Workplace,Intermediate: Basic to mid-level knowledge of topic; sharing of smart practices and real-world application of the subject matter.,2026-03-10,13:20,Grand GH,2026,,1,2,Artificial Intelligence (AI) and Machine Learning (ML); Cognitive and Learning Disabilities,Higher Education; Government; Transportation; Legal; Employment & Human Resources; Finance & Banking; Retail & Wholesale; Research & Development; Marketing; Healthcare & Rehabilitation; Administration & Business Support; Disability Specific; K-12 Education; Sales; Insurance; Media & Publishing; Entertainment & Recreation; Agriculture; Manufacturing; Information & Communications Technology; Military,True,Daiana Wheeler,McGraw Hill Education
44f486e2-0d12-403b-a062-8babaf50f095,Amazon Entertainment Takes It to 11,AH Only Sessions,Blind/Low Vision,Beginning: Minimal knowledge of topic; how-to instruction of a new subject matter.,2026-03-10,13:20,Platinum 4 - Amazon,2026,,1,2,Gaming and Interactive Entertainment; Deaf and Hard of Hearing,Entertainment & Recreation,True,Peter Korn,Amazon
e2256701-1347-4e81-844a-b2ef03b96afb,Building Accessible iOS Apps with SwiftUI,AH Only Sessions,Design,Beginning: Minimal knowledge of topic; how-to instruction of a new subject matter.,2026-03-10,13:20,Orange County 3,2026,,1,2,Digital Accessibility; Development,Higher Education; Information & Communications Technology,True,Madhuvanthi Ramesh Kumar,"Apple, Inc"
e1f915c2-1757-4fb5-8105-189eacde7b38,"CANCELLED: Hard Truths,Brave Conversations: Race, Disability & Accessibility",AH Only Sessions,Employment and Workplace,Beginning: Minimal knowledge of topic; how-to instruction of a new subject matter.,2026-03-10,13:20,Orange County 4,2026,,2,1,Leadership and Strategy,Employment & Human Resources; Research & Development,True,Eduardo Meza Etienne; Mi Ong Vang,"Disability:IN DC Metro; Mibility Consulting Services, LLC"
15ff325d-c479-4fe6-a376-622117c92b3f,Digital Accessibility Trends and Insights for 2026,AH Only Sessions,Digital Accessibility,Beginning: Minimal knowledge of topic; how-to instruction of a new subject matter.,2026-03-10,13:20,Platinum 3 - Deque,2026,,2,3,Development; Leadership and Strategy; Law/Compliance and Policy,Administration & Business Support; Research & Development; Information & Communications Technology,True,Dylan Barrell; Preety Kumar,Deque Systems Inc.; Deque
43c95ccc-1478-4b04-bf99-703a26667914,Digital Accessibility: Legal Update and Hot Topics,AH Only Sessions,Digital Accessibility,Intermediate: Basic to mid-level knowledge of topic; sharing of smart practices and real-world application of the subject matter.,2026-03-10,13:20,Platinum 2 - Vispero,2026,,3,2,Leadership and Strategy; Law/Compliance and Policy,Legal,True,David Sloan; Ashley Jenkins; Kristina Launey,Vispero; Seyfarth Shaw LLP; Seyfarth Shaw LLP
207407a9-305e-4ab2-be05-526b048833e5,Embedding Accessibility into AI Based Software Development,AH Only Sessions,Digital Accessibility,Beginning: Minimal knowledge of topic; how-to instruction of a new subject matter.,2026-03-10,13:20,Platinum 6,2026,,2,2,Emerging Technologies; Information and Communications Technology (ICT),Government; Research & Development; Information & Communications Technology,True,Mallika Meiyappan; Michael Fairchild,Microsoft; Microsoft
f02e57a9-d06a-453a-929f-e29bdc58ed7d,Fine Tuning Slack's Screen Reader UX,AH Only Sessions,Blind/Low Vision,Intermediate: Basic to mid-level knowledge of topic; sharing of smart practices and real-world application of the subject matter.,2026-03-10,13:20,Grand AB,2026,,1,0,,Information & Communications Technology,True,Todd Kloots,Salesforce
4bdb27db-01d6-42cd-a97b-71fb4b5d8dbd,Improving Sign Language Recognition Accuracy with Multi-Cameras,AH Only Sessions,Information and Communications Technology (ICT),Intermediate: Basic to mid-level knowledge of topic; sharing of smart practices and real-world application of the subject matter.,2026-03-10,13:20,Grand JK,2026,,2,2,Artificial Intelligence (AI) and Machine Learning (ML); Deaf and Hard of Hearing,Higher Education; Disability Specific; Research & Development; Information & Communications Technology,True,Raja Kushalnagar; Joe Merino,Gallaudet University; Gallaudet University
20d72c6a-d980-43c1-8e67-e379e94e959d,Lessons Learned Implementing Digital Accessibility in the Colorado Governor's Office,AH Only Sessions,,Beginning: Minimal knowledge of topic; how-to instruction of a new subject matter.,2026-03-10,13:20,Orange County 1,2026,,2,0,,Administration & Business Support; Higher Education; Government; Information & Communications Technology,True,Ellie Maji; Tina Morrow,Colorado Governor's Office; Colorado Governor's Office
3a3db67c-b2aa-4ceb-9b99-f7337d1207f4,Native Mobile App Accessibility:  Lessons Learned from myColorado,AH Only Sessions,Mobile Technology,Intermediate: Basic to mid-level knowledge of topic; sharing of smart practices and real-world application of the subject matter.,2026-03-10,13:20,Orange County 2,2026,,3,2,Digital Accessibility; Evaluation and Remediation,Higher Education; K-12 Education; Government; Finance & Banking; Retail & Wholesale,True,Joanne Hawley; Marc Lind; Robin Eckelberry,Nelnet; Nelnet; Nelnet
43079b22-2405-41c9-9b89-417611962d11,Remote Support Services:  A Gateway to Independent Living,AH Only Sessions,Emerging Technologies,Beginning: Minimal knowledge of topic; how-to instruction of a new subject matter.,2026-03-10,13:20,Platinum 9,2026,,4,2,Independent Living; Cognitive and Learning Disabilities,Disability Specific; Government,True,Blake Mason; Matt Dunn; Eric Lemuel; Ashley Neal,TruCare Provider Services; TruCare Provider Services; TruCare Provider Services; TruCare Provider Services
11a15f98-fa92-41d7-930a-53662d467cca,Social-Haptic Communication for DeafBlind AT Instruction,AH Only Sessions,Blind/Low Vision,Beginning: Minimal knowledge of topic; how-to instruction of a new subject matter.,2026-03-10,13:20,Grand CD,2026,,2,2,Education; Deaf and Hard of Hearing,Disability Specific,True,Bryan Ward; Tara Brown-Ogilvie,Helen Keller National Center for DeafBlind Youths and Adults; Helen Keller National Center for DeafBlind Youths and Adults
02340812-fe05-439d-8a51-a4885360a123,The Evolution of Accessibility: Compliance to Optimized Usability,AH Only Sessions,Design,Intermediate: Basic to mid-level knowledge of topic; sharing of smart practices and real-world application of the subject matter.,2026-03-10,13:20,Platinum 8,2026,,3,2,Digital Accessibility; Web,Administration & Business Support; Sales; Government; Manufacturing; Information & Communications Technology; Marketing,True,Seth Kane; Bonnie Parisi; Adam Rodenbeck,Salesforce; Salesforce; Salesforce
96de5c0c-3050-4d57-8c89-0e86dc31c8af,A New Era of Braille Access: Windows without Barriers,AH Only Sessions,Employment and Workplace,Beginning: Minimal knowledge of topic; how-to instruction of a new subject matter.,2026-03-10,14:20,Elite 1-2,2026,,2,2,Blind/Low Vision; Education,Healthcare & Rehabilitation; Higher Education; Disability Specific; K-12 Education; Employment & Human Resources; Information & Communications Technology,True,Rachel Ramos; Andrew Flatres,HumanWare; Humanware
be275a98-99cb-4333-8390-c15d7e807b60,Accessibility Fairness in AI: Case Study on ChatGPT and Gemini,AH Only Sessions,Digital Accessibility,Intermediate: Basic to mid-level knowledge of topic; sharing of smart practices and real-world application of the subject matter.,2026-03-10,14:20,Elite 3 - Journal Track,2026,,2,2,Information and Communications Technology (ICT); Evaluation and Remediation,Healthcare & Rehabilitation; Administration & Business Support; Higher Education; Disability Specific; K-12 Education; Government; Legal; Employment & Human Resources; Entertainment & Recreation; Information & Communications Technology; Marketing,True,Bernardo Flores; Megan Gross,San Jose State University; San Jose State University
f897921f-c20b-4be2-9353-4f600b22605b,Accessibility in Action: Practical Insights and Proven Approaches,AH Only Sessions,Digital Accessibility,Intermediate: Basic to mid-level knowledge of topic; sharing of smart practices and real-world application of the subject matter.,2026-03-10,14:20,Platinum 1 - Level Access,2026,,3,2,Development; Leadership and Strategy,Higher Education; Government; Transportation; Legal; Employment & Human Resources; Finance & Banking; Retail & Wholesale; Research & Development; Marketing; Healthcare & Rehabilitation; Administration & Business Support; Disability Specific; K-12 Education; Sales; Insurance; Media & Publishing; Entertainment & Recreation; Agriculture; Manufacturing; Information & Communications Technology; Military,True,Corbb O'Connor; Nick Beese; Ka'o Carlos,Level Access; ID.me; ID.me
ef01714a-45a6-47d2-98bd-5c7f80a443bf,Advancing Inclusive Procurement with the EdTech Accessibility Dir,AH Only Sessions,Digital Accessibility,Beginning: Minimal knowledge of topic; how-to instruction of a new subject matter.,2026-03-10,14:20,Orange County 1,2026,,2,2,Education; Leadership and Strategy,K-12 Education; Information & Communications Technology,True,Christopher Phillips; Jena Fahlbush,National Center on Accessible Digital Educational Materials & Instruction; National Center on Accessible Digital Educational Materials & Instruction
a1f57fb1-0664-4fa4-9ad6-16f2d94c22d1,AI PDF Conversion: Escaping Static Files into Semantic Freedom,AH Only Sessions,Digital Accessibility,Intermediate: Basic to mid-level knowledge of topic; sharing of smart practices and real-world application of the subject matter.,2026-03-10,14:20,Grand GH,2026,,2,2,Artificial Intelligence (AI) and Machine Learning (ML); Development,Higher Education; Research & Development; Information & Communications Technology,True,Dylan Isaac; Blake Bertuccelli-Booth,University of Chicago Illinois; University of Illinois Chicago
