year,primary_topic,count
2023,,44
2023,Artificial Intelligence (AI) & Machine Learning (ML),5
2023,Blind/Low Vision,49
2023,Captions & Transcription,4
2023,Cognitive & Learning Disabilities,4
2023,Deaf and Hard of Hearing,7
2023,Design,10
2023,Development,6
2023,Digital Accessibility,75
2023,Education,28
2023,Emerging Technologies,4
2023,Employment & Workplace,11
2023,Engineering,2
2023,Evaluation & Remediation,8
2023,Gaming & Interactive Entertainment,4
2023,Healthcare & Rehabilitation,2
2023,Independent Living,3
2023,Information & Communications Technology (ICT),5
2023,"Law, Compliance, and Policy",5
2023,Leadership & Strategy,14
2023,Mobile Technology,6
2023,Product Demonstration,6
2023,Research,3
2023,School-to-Work Transitioning,1
2023,"Virtual Reality (VR), Augmented Reality (AR), & Cross/Mixed Reality (XR)",4
2023,Web,6
2024,,27
2024,Artificial Intelligence (AI) & Machine Learning (ML),21
2024,Augmentative and Alternative Communications (AAC),4
2024,Blind/Low Vision,51
2024,Captions & Transcription,3
2024,Cognitive & Learning Disabilities,5
2024,Deaf and Hard of Hearing,3
2024,Design,14
2024,Development,10
2024,Digital Accessibility,68
2024,Education,27
2024,Emerging Technologies,8
2024,Employment & Workplace,2
2024,Engineering,2
2024,Evaluation & Remediation,5
2024,Gaming & Interactive Entertainment,2
2024,Healthcare & Rehabilitation,1
2024,Independent Living,6
2024,Information & Communications Technology (ICT),8
2024,"Law, Compliance, and Policy",5
2024,Leadership & Strategy,16
2024,Leisure & Travel,1
2024,Mobile Technology,11
2024,Mobility,6
2024,Product Demonstration,1
2024,Research,6
2024,School-to-Work Transitioning,2
2024,"Virtual Reality (VR), Augmented Reality (AR), & Cross/Mixed Reality (XR)",2
2024,Web,12
2025,,2
2025,Artificial Intelligence (AI) & Machine Learning (ML),23
2025,Blind/Low Vision,12
2025,Captions & Transcription,1
2025,Cognitive & Learning Disabilities,1
2025,Design,90
2025,Digital Accessibility,124
2025,Education,3
2025,Emerging Technologies,7
2025,Employment & Workplace,1
2025,Engineering,5
2025,Healthcare & Rehabilitation,16
2025,Law/Compliance & Policy,17
2025,Leadership & Strategy,1
2025,Leisure & Travel,1
2025,Mobile Technology,22
2025,Product Demonstration,11
2025,Video & Live Streaming,5
2026,,32
2026,Artificial Intelligence (AI) and Machine Learning (ML),2
2026,Blind/Low Vision,46
2026,Cognitive and Learning Disabilities,1
2026,Design,62
2026,Digital Accessibility,138
2026,Education,10
2026,Emerging Technologies,17
2026,Employment and Workplace,8
2026,Engineering,4
2026,Healthcare and Rehabilitation,2
2026,Independent Living,3
2026,Information and Communications Technology (ICT),2
2026,Law/Compliance and Policy,1
2026,Leadership and Strategy,1
2026,Leisure and Travel,3
2026,Mobile Technology,11
2026,Product Demonstration,11
2026,Research,2
2026,Video and Live Streaming,2
2026,Web,1
