topic_1,topic_2,count
Design,Development,41
Design,Digital Accessibility,32
Development,Digital Accessibility,27
Digital Accessibility,Web,26
Blind/Low Vision,Digital Accessibility,24
Digital Accessibility,Information & Communications Technology (ICT),24
Digital Accessibility,Emerging Technologies,24
Digital Accessibility,Education,23
Information & Communications Technology (ICT),Web,22
Digital Accessibility,"Law, Compliance, and Policy",21
Design,Web,18
Blind/Low Vision,Information & Communications Technology (ICT),17
Education,Information & Communications Technology (ICT),16
Development,Web,16
Design,Information & Communications Technology (ICT),15
Blind/Low Vision,Education,15
Blind/Low Vision,Web,14
Blind/Low Vision,Product Demonstration,13
Design,Education,13
Education,Web,13
Blind/Low Vision,Design,13
Blind/Low Vision,Captions & Transcription,13
Digital Accessibility,Mobile Technology,13
Education,Employment & Workplace,13
Education,Product Demonstration,13
Evaluation & Remediation,Information & Communications Technology (ICT),13
Development,Information & Communications Technology (ICT),13
Captions & Transcription,Education,12
Captions & Transcription,Digital Accessibility,12
Education,Emerging Technologies,12
Blind/Low Vision,Emerging Technologies,11
Information & Communications Technology (ICT),"Law, Compliance, and Policy",11
Evaluation & Remediation,Web,11
Design,Research,10
Digital Accessibility,Employment & Workplace,10
Digital Accessibility,Engineering,10
Digital Accessibility,Evaluation & Remediation,9
Development,Engineering,9
Captions & Transcription,Design,9
"Law, Compliance, and Policy",Web,9
Digital Accessibility,Research,9
Development,Research,9
"Law, Compliance, and Policy",Leadership & Strategy,9
Evaluation & Remediation,"Law, Compliance, and Policy",9
Blind/Low Vision,Deaf and Hard of Hearing,8
Digital Accessibility,Leadership & Strategy,8
Captions & Transcription,Information & Communications Technology (ICT),8
Blind/Low Vision,Mobile Technology,8
Design,Engineering,8
Blind/Low Vision,Research,8
Emerging Technologies,Healthcare & Rehabilitation,8
Information & Communications Technology (ICT),Leadership & Strategy,8
Development,"Law, Compliance, and Policy",7
Evaluation & Remediation,Leadership & Strategy,7
Emerging Technologies,Employment & Workplace,7
Digital Accessibility,Healthcare & Rehabilitation,7
Blind/Low Vision,Development,7
Artificial Intelligence (AI) & Machine Learning (ML),Digital Accessibility,7
Design,Leadership & Strategy,7
Design,Emerging Technologies,7
Mobile Technology,Web,7
Development,Education,6
Development,Evaluation & Remediation,6
Information & Communications Technology (ICT),Research,6
Development,Leadership & Strategy,6
Development,Mobile Technology,6
Engineering,Web,6
Digital Accessibility,Independent Living,6
Education,Research,6
Captions & Transcription,Emerging Technologies,6
Digital Accessibility,Product Demonstration,6
Education,School-to-Work Transitioning,6
Blind/Low Vision,Evaluation & Remediation,6
Digital Accessibility,Video & Live Streaming,6
Emerging Technologies,Information & Communications Technology (ICT),6
Education,"Law, Compliance, and Policy",6
Employment & Workplace,Information & Communications Technology (ICT),5
Blind/Low Vision,Cognitive & Learning Disabilities,5
Emerging Technologies,"Law, Compliance, and Policy",5
Design,Employment & Workplace,5
Blind/Low Vision,Mobility,5
Blind/Low Vision,Healthcare & Rehabilitation,5
Design,"Law, Compliance, and Policy",5
Blind/Low Vision,Engineering,5
Design,Product Demonstration,5
Information & Communications Technology (ICT),Product Demonstration,5
Mobile Technology,Product Demonstration,5
Artificial Intelligence (AI) & Machine Learning (ML),Emerging Technologies,5
Development,Emerging Technologies,5
Emerging Technologies,Independent Living,5
Emerging Technologies,Product Demonstration,5
Captions & Transcription,Independent Living,5
Cognitive & Learning Disabilities,Deaf and Hard of Hearing,5
Employment & Workplace,Leadership & Strategy,5
Emerging Technologies,Mobile Technology,5
Employment & Workplace,"Law, Compliance, and Policy",4
Leadership & Strategy,Research,4
Design,Mobile Technology,4
Employment & Workplace,Independent Living,4
Design,Evaluation & Remediation,4
Digital Accessibility,Mobility,4
