year,primary_topic,count
2024,,27
2024,Artificial Intelligence (AI) & Machine Learning (ML),21
2024,Augmentative and Alternative Communications (AAC),4
2024,Blind/Low Vision,51
2024,Captions & Transcription,3
2024,Cognitive & Learning Disabilities,5
2024,Deaf and Hard of Hearing,3
2024,Design,14
2024,Development,10
2024,Digital Accessibility,68
2024,Education,27
2024,Emerging Technologies,8
2024,Employment & Workplace,2
2024,Engineering,2
2024,Evaluation & Remediation,5
2024,Gaming & Interactive Entertainment,2
2024,Healthcare & Rehabilitation,1
2024,Independent Living,6
2024,Information & Communications Technology (ICT),8
2024,"Law, Compliance, and Policy",5
2024,Leadership & Strategy,16
2024,Leisure & Travel,1
2024,Mobile Technology,11
2024,Mobility,6
2024,Product Demonstration,1
2024,Research,6
2024,School-to-Work Transitioning,2
2024,"Virtual Reality (VR), Augmented Reality (AR), & Cross/Mixed Reality (XR)",2
2024,Web,12
