topic_1,topic_2,count
Design,Development,71
Design,Digital Accessibility,58
Blind/Low Vision,Digital Accessibility,52
Digital Accessibility,Web,49
Development,Digital Accessibility,47
Digital Accessibility,Education,44
Digital Accessibility,Emerging Technologies,42
Digital Accessibility,Information & Communications Technology (ICT),41
Information & Communications Technology (ICT),Web,37
Design,Web,36
Development,Web,34
Digital Accessibility,"Law, Compliance, and Policy",34
Blind/Low Vision,Information & Communications Technology (ICT),32
Captions & Transcription,Education,28
Development,Information & Communications Technology (ICT),27
Blind/Low Vision,Education,26
Design,Information & Communications Technology (ICT),26
Blind/Low Vision,Captions & Transcription,25
Education,Information & Communications Technology (ICT),25
Blind/Low Vision,Product Demonstration,25
Design,Education,24
Digital Accessibility,Employment & Workplace,24
Education,Employment & Workplace,24
Evaluation & Remediation,Web,23
Blind/Low Vision,Design,23
Development,Research,23
Blind/Low Vision,Web,23
Education,Emerging Technologies,22
Digital Accessibility,Mobile Technology,22
Design,Research,22
Information & Communications Technology (ICT),"Law, Compliance, and Policy",21
Captions & Transcription,Digital Accessibility,21
Evaluation & Remediation,Information & Communications Technology (ICT),20
Education,Web,20
Digital Accessibility,Research,20
Evaluation & Remediation,"Law, Compliance, and Policy",19
Blind/Low Vision,Emerging Technologies,19
Education,Product Demonstration,19
Development,Engineering,18
Development,Evaluation & Remediation,18
"Law, Compliance, and Policy",Web,18
Digital Accessibility,Evaluation & Remediation,18
Design,Evaluation & Remediation,17
Design,Engineering,17
Blind/Low Vision,Deaf and Hard of Hearing,17
Design,Leadership & Strategy,16
Artificial Intelligence (AI) & Machine Learning (ML),Digital Accessibility,14
Digital Accessibility,Product Demonstration,14
Design,Emerging Technologies,14
Development,Leadership & Strategy,14
Design,Employment & Workplace,14
Blind/Low Vision,Mobile Technology,14
Education,Research,13
Emerging Technologies,Employment & Workplace,13
Emerging Technologies,Independent Living,13
Information & Communications Technology (ICT),Research,13
Blind/Low Vision,Research,13
Digital Accessibility,Leadership & Strategy,13
Blind/Low Vision,Development,13
Information & Communications Technology (ICT),Leadership & Strategy,12
Evaluation & Remediation,Leadership & Strategy,12
Digital Accessibility,Engineering,12
Captions & Transcription,Emerging Technologies,12
Mobile Technology,Web,12
"Law, Compliance, and Policy",Leadership & Strategy,12
Education,Mobile Technology,11
Captions & Transcription,Design,11
Development,Education,11
Leadership & Strategy,Web,11
Information & Communications Technology (ICT),Product Demonstration,11
Digital Accessibility,Healthcare & Rehabilitation,11
Blind/Low Vision,Cognitive & Learning Disabilities,11
Cognitive & Learning Disabilities,Deaf and Hard of Hearing,11
Emerging Technologies,Information & Communications Technology (ICT),10
Development,Emerging Technologies,10
Development,Mobile Technology,10
Engineering,Web,10
Education,School-to-Work Transitioning,10
Blind/Low Vision,Employment & Workplace,10
Blind/Low Vision,Evaluation & Remediation,10
Employment & Workplace,Leadership & Strategy,10
Employment & Workplace,Information & Communications Technology (ICT),10
Emerging Technologies,Healthcare & Rehabilitation,9
Employment & Workplace,Web,9
Development,"Law, Compliance, and Policy",9
Leadership & Strategy,Research,9
Captions & Transcription,Information & Communications Technology (ICT),9
Design,Mobile Technology,9
Artificial Intelligence (AI) & Machine Learning (ML),Blind/Low Vision,9
Digital Accessibility,Video & Live Streaming,9
Education,Evaluation & Remediation,9
Education,"Law, Compliance, and Policy",9
Deaf and Hard of Hearing,Digital Accessibility,9
Information & Communications Technology (ICT),Mobile Technology,8
Design,"Law, Compliance, and Policy",8
"Law, Compliance, and Policy",Research,8
Design,Product Demonstration,8
Digital Accessibility,Independent Living,8
Emerging Technologies,Mobile Technology,8
Emerging Technologies,Product Demonstration,8
Artificial Intelligence (AI) & Machine Learning (ML),Emerging Technologies,8
Artificial Intelligence (AI) & Machine Learning (ML),Mobile Technology,8
Blind/Low Vision,Mobility,8
Captions & Transcription,Independent Living,8
Captions & Transcription,Deaf and Hard of Hearing,7
Cognitive & Learning Disabilities,Information & Communications Technology (ICT),7
Blind/Low Vision,Healthcare & Rehabilitation,7
Employment & Workplace,School-to-Work Transitioning,7
Blind/Low Vision,Independent Living,7
Digital Accessibility,School-to-Work Transitioning,7
Emerging Technologies,Research,7
