id,first_name,last_name,name,company,title,biography,linkedin_url,twitter_url,facebook_url,category_id,year
1fdcd219-076b-4254-ad44-1046e1dac022,Dana,Marlowe,Dana Marlowe,Accessibility Partners,Principal Partner,,,,,420b4dc7-586e-48c2-ab7c-6ece7cb4f208,2026
7764ca15-c5a8-4379-b628-0d222a5632fc,Kiran,Kaja,Kiran Kaja,Amazon,Principal Product Mgr Tech - Worldwide Stores Accessibility,,,,,420b4dc7-586e-48c2-ab7c-6ece7cb4f208,2026
20450421-a3c6-42e4-8508-39735b37c208,Alison,George,Alison George,Capital One UK,Digital Accessibility Specialist,,,,,420b4dc7-586e-48c2-ab7c-6ece7cb4f208,2026
eb16ba7e-1858-48ef-84b5-a98c46c9ea25,Angela,Young,Angela Young,Epsilon,"Advisor, Digital Solutions Consulting - Accessibility Training & Awareness",,,,,420b4dc7-586e-48c2-ab7c-6ece7cb4f208,2026
55c910b5-ab5a-412d-9f46-237b592ed212,Sucheta,Narang,Sucheta Narang,AccessibleWorld,Founder and CEO,,,,,420b4dc7-586e-48c2-ab7c-6ece7cb4f208,2026
02bda7db-677d-49b3-97e5-8bad0e79a993,Jing,He,Jing He,Google,Senior UX Designer,,,,,420b4dc7-586e-48c2-ab7c-6ece7cb4f208,2026
5b59c419-b50c-4a1e-a146-4658e854e712,Abishua,Abraham,Abishua Abraham,Amazon,Sr Program Manager,,,,,420b4dc7-586e-48c2-ab7c-6ece7cb4f208,2026
f67a388b-5d22-4278-9b14-17ad8841d95d,Matthew,Shifrin,Matthew Shifrin,Bricks For The Blind,Founder,,,,,420b4dc7-586e-48c2-ab7c-6ece7cb4f208,2026
309e0000-5046-4290-9f16-99160d1d3545,Ethan,Richtsmeier,Ethan Richtsmeier,Santa Ana Unified School District,AT/AAC Specialist,,,,,420b4dc7-586e-48c2-ab7c-6ece7cb4f208,2026
1ec90d07-e429-4056-8dc9-6e55c452046c,Carissa,Merrill,Carissa Merrill,Mayo Clinic,Lead Accessibility Designer,,,,,420b4dc7-586e-48c2-ab7c-6ece7cb4f208,2026
cc286f69-fc2c-4f31-b37d-c86f6a9a9dc7,Noe,Barrell,Noe Barrell,Deque,Staff Machine Learning Engineer,,,,,420b4dc7-586e-48c2-ab7c-6ece7cb4f208,2026
0f49d0d0-bf49-48b9-8fc2-fec4429863e3,Jayashree,Prabunathan,Jayashree Prabunathan,Google LLC,Manager Accessibility Analyst,,,,,420b4dc7-586e-48c2-ab7c-6ece7cb4f208,2026
3195a111-8983-4a43-85b5-7d3f91a6627d,Alpesh Danabhai,Ahir,Alpesh Danabhai Ahir,Walmart Inc.,Accessibility Specialist,,,,,420b4dc7-586e-48c2-ab7c-6ece7cb4f208,2026
570dc2d7-60d3-40e8-8a28-540dbb830452,Sarah,Wegwerth,Sarah Wegwerth,Alchemie,Director of Academics,,,,,420b4dc7-586e-48c2-ab7c-6ece7cb4f208,2026
0aaa11ba-ef5b-4725-bf90-8045730287a6,Beth,Decker,Beth Decker,National Center for Accessible Media at GBH,Accessibility Specialist,,,,,420b4dc7-586e-48c2-ab7c-6ece7cb4f208,2026
ee2ae587-f60a-4dc8-8ab6-12659eb2de2c,Sile,O'Modhrain,Sile O'Modhrain,NewHaptics,Co-Founder / CXO,,,,,420b4dc7-586e-48c2-ab7c-6ece7cb4f208,2026
a2c76fc5-e867-4381-83ff-57dde32161c2,Lauren,Race,Lauren Race,New York University,Accessibility Designer & Researcher,,,,,420b4dc7-586e-48c2-ab7c-6ece7cb4f208,2026
17eed264-0320-4896-9b6c-7701aa11a066,Andy,Bailey,Andy Bailey,Be My Eyes,CMO,,,,,420b4dc7-586e-48c2-ab7c-6ece7cb4f208,2026
371f94ff-86ad-48b7-89b1-ec10df1d4760,Robert,Grill,Robert Grill,Maximus,Director of Accessibility,,,,,420b4dc7-586e-48c2-ab7c-6ece7cb4f208,2026
bb752557-fde7-4f24-bfd3-3767879febe2,Terra,Masiel,Terra Masiel,Amazon,Sr. Product Manager,,,,,420b4dc7-586e-48c2-ab7c-6ece7cb4f208,2026
3d9996d2-d2b1-4718-9eff-896521577c04,Andreas,Putz,Andreas Putz,Amazon,Applied Scientist,,,,,420b4dc7-586e-48c2-ab7c-6ece7cb4f208,2026
7112782a-637f-4507-bb8c-48beb27a9e23,Abid,Virani,Abid Virani,Fable,Co-Founder & COO,,,,,420b4dc7-586e-48c2-ab7c-6ece7cb4f208,2026
684cf809-65e6-4543-990e-8875b17000c0,Elizabeth,Whitaker,Elizabeth Whitaker,Vispero,Director of User Education and Outreach,,,,,420b4dc7-586e-48c2-ab7c-6ece7cb4f208,2026
821afbc0-0f00-4d47-881c-2f97cf67eb5d,Yesol,Kwak,Yesol Kwak,SK Happiness Foundation,Project Manager,,,,,420b4dc7-586e-48c2-ab7c-6ece7cb4f208,2026
e5ebacbb-c8f6-444c-bbba-3044f734cd0c,Tanya,Mallan,Tanya Mallan,Sonoma SELPA Adaptive Technology Center,Speech Pathologist/AAC Specialist,,,,,420b4dc7-586e-48c2-ab7c-6ece7cb4f208,2026
deda7e04-eee3-4d79-965b-439fd46886c5,Paige,DeVries,Paige DeVries,Gallaudet University,"Graduate Student, Accessible Human-Centered Computing and Policy",,,,,420b4dc7-586e-48c2-ab7c-6ece7cb4f208,2026
